Price Zones,Hour,Price
LZ_SOUTH,0,23.23
LZ_SOUTH,1,21.82
LZ_SOUTH,2,20.16
LZ_SOUTH,3,20
LZ_SOUTH,4,20.24
LZ_SOUTH,5,21.45
LZ_SOUTH,6,24.35
LZ_SOUTH,7,24.06
LZ_SOUTH,8,25.48
LZ_SOUTH,9,24.94
LZ_SOUTH,10,28
LZ_SOUTH,11,25.06
LZ_SOUTH,12,23.71
LZ_SOUTH,13,23.26
LZ_SOUTH,14,24
LZ_SOUTH,15,23.22
LZ_SOUTH,16,22.95
LZ_SOUTH,17,42
LZ_SOUTH,18,35
LZ_SOUTH,19,24.98
LZ_SOUTH,20,24.29
LZ_SOUTH,21,23.24
LZ_SOUTH,22,20.18
LZ_SOUTH,23,17.9
LZ_SOUTH,24,17.48
LZ_SOUTH,25,17.48
LZ_SOUTH,26,17.07
LZ_SOUTH,27,16.54
LZ_SOUTH,28,15.81
LZ_SOUTH,29,15.81
LZ_SOUTH,30,15.95
LZ_SOUTH,31,17.12
LZ_SOUTH,32,18.53
LZ_SOUTH,33,21.79
LZ_SOUTH,34,23.51
LZ_SOUTH,35,24.06
LZ_SOUTH,36,24.8
LZ_SOUTH,37,24.14
LZ_SOUTH,38,24.89
LZ_SOUTH,39,22.32
LZ_SOUTH,40,23.91
LZ_SOUTH,41,50.78
LZ_SOUTH,42,30.58
LZ_SOUTH,43,29.85
LZ_SOUTH,44,27.22
LZ_SOUTH,45,23.71
LZ_SOUTH,46,18.3
LZ_SOUTH,47,14.77
LZ_SOUTH,48,11.14
LZ_SOUTH,49,9.16
LZ_SOUTH,50,9.66
LZ_SOUTH,51,13.03
LZ_SOUTH,52,16.97
LZ_SOUTH,53,21.03
LZ_SOUTH,54,24.06
LZ_SOUTH,55,24.11
LZ_SOUTH,56,26.68
LZ_SOUTH,57,25.13
LZ_SOUTH,58,25.21
LZ_SOUTH,59,25.36
LZ_SOUTH,60,26.72
LZ_SOUTH,61,27
LZ_SOUTH,62,27.68
LZ_SOUTH,63,26.38
LZ_SOUTH,64,26.24
LZ_SOUTH,65,42.19
LZ_SOUTH,66,37.24
LZ_SOUTH,67,27.58
LZ_SOUTH,68,25.5
LZ_SOUTH,69,25.28
LZ_SOUTH,70,24.3
LZ_SOUTH,71,21.91
LZ_SOUTH,72,21.48
LZ_SOUTH,73,20.92
LZ_SOUTH,74,21.04
LZ_SOUTH,75,22.3
LZ_SOUTH,76,22.9
LZ_SOUTH,77,24.92
LZ_SOUTH,78,44.51
LZ_SOUTH,79,35.64
LZ_SOUTH,80,30.41
LZ_SOUTH,81,28.52
LZ_SOUTH,82,26.23
LZ_SOUTH,83,25.16
LZ_SOUTH,84,25.45
LZ_SOUTH,85,24.29
LZ_SOUTH,86,24.12
LZ_SOUTH,87,23.32
LZ_SOUTH,88,25.31
LZ_SOUTH,89,36.72
LZ_SOUTH,90,35.21
LZ_SOUTH,91,29.5
LZ_SOUTH,92,24.69
LZ_SOUTH,93,24.75
LZ_SOUTH,94,22.63
LZ_SOUTH,95,20.38
LZ_SOUTH,96,19.71
LZ_SOUTH,97,19.54
LZ_SOUTH,98,19.43
LZ_SOUTH,99,20.02
LZ_SOUTH,100,21.02
LZ_SOUTH,101,23.04
LZ_SOUTH,102,35.46
LZ_SOUTH,103,33.91
LZ_SOUTH,104,27.52
LZ_SOUTH,105,25.74
LZ_SOUTH,106,24.25
LZ_SOUTH,107,24.03
LZ_SOUTH,108,24.18
LZ_SOUTH,109,24.43
LZ_SOUTH,110,24.02
LZ_SOUTH,111,23.25
LZ_SOUTH,112,23.49
LZ_SOUTH,113,35.05
LZ_SOUTH,114,30.83
LZ_SOUTH,115,27.16
LZ_SOUTH,116,26.38
LZ_SOUTH,117,24.52
LZ_SOUTH,118,23.1
LZ_SOUTH,119,23.47
LZ_SOUTH,120,20.12
LZ_SOUTH,121,19.74
LZ_SOUTH,122,19.77
LZ_SOUTH,123,20.18
LZ_SOUTH,124,20.72
LZ_SOUTH,125,23.83
LZ_SOUTH,126,34.18
LZ_SOUTH,127,36.81
LZ_SOUTH,128,32.18
LZ_SOUTH,129,30.43
LZ_SOUTH,130,37.55
LZ_SOUTH,131,34.79
LZ_SOUTH,132,32.48
LZ_SOUTH,133,31.38
LZ_SOUTH,134,33.7
LZ_SOUTH,135,31.45
LZ_SOUTH,136,35.85
LZ_SOUTH,137,64.68
LZ_SOUTH,138,58.79
LZ_SOUTH,139,47.23
LZ_SOUTH,140,40.37
LZ_SOUTH,141,34.72
LZ_SOUTH,142,29.26
LZ_SOUTH,143,33.99
LZ_SOUTH,144,46.88
LZ_SOUTH,145,47.34
