,State,Plant,County,Latitude,Longitude,Nameplate capacity (MW),Balancing Authority,Emission intensity (ton/MWh)
0,AK,Aurora Energy LLC Chena,Fairbanks North Star,64.847743,-147.735063,31.3,Alaska Miscellaneous,0.976335
1,AK,Eielson AFB Central Heat & Power Plant,Fairbanks North Star,64.67141,-147.075988,33.5,Alaska Miscellaneous,0.594185
2,AK,Healy,Denali,63.8542,-148.95,92.8,Alaska Miscellaneous,1.520815
3,AK,University of Alaska Fairbanks,Fairbanks North Star,64.854171,-147.822075,39.6,Alaska Miscellaneous,0.59442
4,AK,Utility Plants Section,Fairbanks North Star,64.825601,-147.648627,22.5,Alaska Miscellaneous,0.66149
5,AL,Barry,Mobile,31.0069,-88.0103,2841.5,"Southern Company Services, Inc. - Trans",0.766955
6,AL,Charles R Lowman,Washington,31.488019,-87.910747,538,PowerSouth Energy Cooperative,1.165525
7,AL,E C Gaston,Shelby,33.244211,-86.458056,2034,"Southern Company Services, Inc. - Trans",0.931475
8,AL,Gorgas,Walker,33.644344,-87.196486,1416.7,"Southern Company Services, Inc. - Trans",1.132025
9,AL,James H Miller Jr,Jefferson,33.6319,-87.0597,2822,"Southern Company Services, Inc. - Trans",1.099895
10,AR,Flint Creek Power Plant,Benton,36.2561,-94.5241,558,Southwest Power Pool,1.106515
11,AR,Independence,Independence,35.678442,-91.408761,1800,"Midcontinent Independent Transmission System Operator, Inc..",1.0933
12,AR,John W. Turk Jr. Power Plant,Hempstead,33.649722,-93.811944,609,Southwest Power Pool,0.992265
13,AR,Plum Point Energy Station,Mississippi,35.6644,-89.9489,720,"Midcontinent Independent Transmission System Operator, Inc..",1.090285
14,AR,White Bluff,Jefferson,34.4228,-92.1406,1800,"Midcontinent Independent Transmission System Operator, Inc..",1.1211
15,AZ,Cholla,Navajo,34.9394,-110.3033,1128.8,Arizona Public Service Company,1.23533
16,AZ,Coronado Generating Station,Apache,34.5789,-109.2708,821.8,Salt River Project,1.27414
17,AZ,Navajo Generating Station,Coconino,36.9047,-111.3886,2409.3,Salt River Project,1.172545
18,AZ,Springerville Generating Station,Apache,34.3186,-109.1639,2179.2,Tucson Electric Power Company,1.079675
19,CA,Argus Cogen Plant,San Bernardino,35.765,-117.3833,62.5,California Independent System Operator,0.57429
20,CO,Comanche (470),Pueblo,38.2081,-104.5747,1635.3,Western Area Power Administration - Rocky Mountain Region,1.04671
21,CO,Craig,Moffat,40.4627,-107.5912,1427.6,Western Area Power Administration - Rocky Mountain Region,1.13755
22,CO,Hayden,Routt,40.4856,-107.185,465.4,Public Service Company of Colorado,1.17405
23,CO,Martin Drake,El Paso,38.824444,-104.833333,257.3,Western Area Power Administration - Rocky Mountain Region,1.276585
24,CO,Nucla,Montrose,38.2383,-108.5069,113.8,Western Area Power Administration - Rocky Mountain Region,1.627665
25,CO,Pawnee,Morgan,40.2217,-103.6803,552.3,Public Service Company of Colorado,1.22181
26,CO,Rawhide Energy Station,Larimer,40.860905,-105.021207,800.4,Public Service Company of Colorado,1.02459
27,CO,Ray D Nixon,El Paso,38.633451,-104.70577,282.6,Western Area Power Administration - Rocky Mountain Region,1.008965
28,CO,Western Sugar Coop- Ft Morgan,Morgan,40.263,-103.8069,3,Public Service Company of Colorado,0.6031
29,CT,Bridgeport Harbor Station,Fairfield,41.1706,-73.1844,1157.9,ISO New England Inc.,1.181695
30,DE,Indian River,Sussex,38.5857,-75.2341,804.1,"PJM Interconnection, LLC",1.123585
31,FL,Big Bend,Hillsborough,27.7944,-82.4036,2862.9,Tampa Electric Company,1.09007
32,FL,C D McIntosh Jr Power Plant,Polk,28.0801,-81.9229,1416.9,Florida Municipal Power Pool,0.723685
33,FL,Crist Electric Generating Plant,Escambia,30.5661,-87.2244,1228.8,"Southern Company Services, Inc. - Trans",1.061555
34,FL,Crystal River,Citrus,28.9656,-82.6977,5303.7,Progress Energy Florida,1.06455
35,FL,Curtis H. Stanton Energy Center,Orange,28.4822,-81.1678,1262,Florida Municipal Power Pool,0.87747
36,FL,Deerhaven,Alachua,29.7592,-82.3878,471,Gainesville Regional Utilities,1.102925
37,FL,"Indiantown Cogeneration, LP",Martin,27.0389,-80.5125,395.4,Florida Power & Light Company,0.841705
38,FL,Northside,Duval,30.4172,-81.5525,1407.1,JEA,1.02008
39,FL,Seminole (136),Putnam,29.733056,-81.632778,2321.8,Seminole Electric Cooperative,1.0583
40,GA,Bowen,Bartow,34.1256,-84.9222,3540.4,"Southern Company Services, Inc. - Trans",1.07744
41,GA,Hammond,Floyd,34.2528,-85.3456,953,"Southern Company Services, Inc. - Trans",1.50957
42,GA,McIntosh (6124),Effingham,32.356287,-81.168347,988,"Southern Company Services, Inc. - Trans",1.32244
43,GA,Scherer,Monroe,33.0606,-83.8075,3564,"Southern Company Services, Inc. - Trans",1.18407
44,GA,Wansley (6052),Heard,33.41342,-85.032329,1956.8,"Southern Company Services, Inc. - Trans",1.185015
45,HI,AES Hawaii,Honolulu,21.303419,-158.106528,203,Hawaiian Electric Co Inc,1.16903
46,IA,Archer Daniels Midland Cedar Rapids,Linn,41.9221,-91.6875,294.6,"Midcontinent Independent Transmission System Operator, Inc..",0.54726
