USAF Station Code,Site Name,State,Latitude,Longitude
690150,TWENTYNINE PALMS,CA,34.3,-116.167
690190,ABILENE DYESS AFB,TX,32.433,-99.85
690230,WHIDBEY ISLAND NAS,WA,48.35,-122.667
699604,YUMA MCAS,AZ,32.65,-114.617
700197,SELAWIK,AK,66.6,-160
700260,BARROW W POST-W ROGERS ARPT [NSA - ARM],AK,71.32,-156.62
700637,DEADHORSE,AK,70.2,-148.483
701043,POINT HOPE (AWOS),AK,68.35,-166.8
701195,SHISHMAREF (AWOS),AK,66.267,-166.05
701330,KOTZEBUE RALPH WEIN MEMORIAL,AK,66.883,-162.6
701625,ANAKTUVUK PASS,AK,68.133,-151.733
701718,AMBLER,AK,67.1,-157.85
701740,BETTLES FIELD,AK,66.917,-151.517
701780,TANANA RALPH M CALHOUN MEM AP,AK,65.167,-152.1
701940,FORT YUKON,AK,66.567,-145.267
702000,NOME MUNICIPAL ARPT,AK,64.517,-165.45
702005,SAINT MARY`S (AWOS),AK,62.067,-163.3
702035,SAVOONGA,AK,63.683,-170.5
702040,GAMBELL,AK,63.783,-171.75
702070,UNALAKLEET FIELD,AK,63.883,-160.8
702075,ANVIK,AK,62.65,-160.183
702084,EMMONAK,AK,62.783,-164.5
702185,MEKORYUK,AK,60.367,-166.267
702186,HOOPER BAY,AK,61.517,-166.15
702190,BETHEL AIRPORT,AK,60.783,-161.833
702225,HUSLIA,AK,65.7,-156.383
702310,MCGRATH ARPT,AK,62.95,-155.6
702320,ANIAK AIRPORT,AK,61.583,-159.533
702460,MINCHUMINA,AK,63.883,-152.283
702495,HAYES RIVER,AK,61.983,-152.083
702510,TALKEETNA STATE ARPT,AK,62.317,-150.1
702590,KENAI MUNICIPAL AP,AK,60.583,-151.233
702595,SOLDOTNA,AK,60.467,-151.033
702600,NENANA MUNICIPAL AP,AK,64.55,-149.1
702606,CHULITNA,AK,62.883,-149.833
702607,HOONAH,AK,58.083,-135.45
702610,FAIRBANKS INTL ARPT,AK,64.817,-147.85
702647,HEALY RIVER AIRPORT,AK,63.883,-149.017
702650,FAIRBANKS/EIELSON A,AK,64.65,-147.1
702670,BIG DELTA ALLEN AAF,AK,64,-145.717
702710,GULKANA INTERMEDIATE FIELD,AK,62.15,-145.45
702720,ANCHORAGE/ELMENDORF,AK,61.25,-149.8
702725,LAKE HOOD SEAPLANE,AK,61.183,-149.967
702730,ANCHORAGE INTL AP,AK,61.183,-150
702735,ANCHORAGE MERRILL FIELD,AK,61.217,-149.85
702740,PALMER MUNICIPAL,AK,61.6,-149.083
702746,BIRCHWOOD,AK,61.417,-149.517
702750,VALDEZ WSO,AK,61.133,-146.35
702756,VALDEZ PIONEER FIEL,AK,61.133,-146.267
702757,WHITTIER,AK,60.767,-148.683
702770,SEWARD,AK,60.117,-149.45
702910,NORTHWAY AIRPORT,AK,62.967,-141.933
702960,CORDOVA,AK,60.5,-145.5
702986,BIG RIVER LAKE,AK,60.817,-152.3
703080,ST PAUL ISLAND ARPT,AK,57.167,-170.217
703160,COLD BAY ARPT,AK,55.2,-162.717
703165,SAND POINT,AK,55.317,-160.517
703210,DILLINGHAM (AMOS),AK,59.05,-158.517
703260,KING SALMON ARPT,AK,58.683,-156.65
703330,PORT HEIDEN,AK,56.95,-158.617
703400,ILIAMNA ARPT,AK,59.75,-154.917
703407,SLEETMUTE,AK,61.717,-157.15
703410,HOMER ARPT,AK,59.65,-151.483
703430,MIDDLETON ISLAND AUT,AK,59.467,-146.317
703500,KODIAK AIRPORT,AK,57.75,-152.5
703606,TOGIAC VILLAGE AWOS,AK,59.05,-160.4
703610,YAKUTAT STATE ARPT,AK,59.517,-139.633
703620,SKAGWAY AIRPORT,AK,59.467,-135.3
703670,GUSTAVUS,AK,58.417,-135.7
703710,SITKA JAPONSKI AP,AK,57.05,-135.367
703810,JUNEAU INT'L ARPT,AK,58.35,-134.583
703855,KAKE SEAPLANE BASE,AK,56.967,-133.95
703860,PETERSBURG,AK,56.8,-132.95
703870,WRANGELL,AK,56.483,-132.367
703884,HYDABURG SEAPLANE,AK,55.2,-132.833
703950,KETCHIKAN INTL AP,AK,55.367,-131.717
703980,ANNETTE ISLAND AP,AK,55.05,-131.567
704140,SHEMYA AFB,AK,52.717,174.117
704540,ADAK NAS,AK,51.883,-176.65
704890,DUTCH HARBOR,AK,53.9,-166.55
722010,KEY WEST INTL ARPT,FL,24.55,-81.75
722015,KEY WEST NAS,FL,24.583,-81.683
722016,MARATHON AIRPORT,FL,24.733,-81.05
722020,MIAMI INTL AP,FL,25.817,-80.3
722024,MIAMI/OPA LOCKA,FL,25.9,-80.283
722025,FORT LAUDERDALE HOLLYWOOD INT,FL,26.067,-80.15
722026,HOMESTEAD AFB,FL,25.483,-80.383
722029,MIAMI/KENDALL-TAMIA,FL,25.65,-80.433
722030,WEST PALM BEACH INTL ARPT,FL,26.683,-80.1
722038,NAPLES MUNICIPAL,FL,26.15,-81.767
722039,FORT LAUDERDALE,FL,26.2,-80.167
722040,MELBOURNE REGIONAL AP,FL,28.117,-80.65
722045,VERO BEACH MUNICIPAL ARPT,FL,27.65,-80.417
722050,ORLANDO INTL ARPT,FL,28.433,-81.333
722053,ORLANDO EXECUTIVE AP,FL,28.55,-81.333
722055,OCALA MUNI (AWOS),FL,29.167,-82.217
722056,DAYTONA BEACH INTL AP,FL,29.183,-81.067
722057,ORLANDO SANFORD AIRPORT,FL,28.783,-81.25
722060,JACKSONVILLE INTL ARPT,FL,30.5,-81.7
722065,JACKSONVILLE NAS,FL,30.233,-81.667
722066,MAYPORT NS,FL,30.4,-81.417
722068,JACKSONVILLE/CRAIG,FL,30.333,-81.517
722070,SAVANNAH INTL AP,GA,32.117,-81.2
722080,CHARLESTON INTL ARPT,SC,32.9,-80.033
722085,BEAUFORT MCAS,SC,32.483,-80.717
722103,ST LUCIE CO INTL,FL,27.483,-80.367
722104,ST PETERSBURG ALBERT WHITTED,FL,27.767,-82.633
722106,FORT MYERS PAGE FIELD,FL,26.583,-81.867
722108,SOUTHWEST FLORIDA I,FL,26.533,-81.75
722110,TAMPA INTERNATIONAL AP,FL,27.967,-82.533
722115,SARASOTA BRADENTON,FL,27.383,-82.55
722116,ST PETERSBURG CLEAR,FL,27.9,-82.683
722119,LAKELAND LINDER RGN,FL,27.983,-82.017
722135,ALMA BACON COUNTY AP,GA,31.533,-82.5
722136,BRUNSWICK GOLDEN IS,GA,31.25,-81.467
722137,BRUNSWICK MALCOLM MCKINNON AP,GA,31.15,-81.383
722140,TALLAHASSEE REGIONAL AP [ISIS],FL,30.38,-84.37
722146,GAINESVILLE REGIONAL AP,FL,29.7,-82.283
722160,ALBANY DOUGHERTY COUNTY AP,GA,31.533,-84.183
722166,VALDOSTA WB AIRPORT,GA,30.783,-83.283
722170,MACON MIDDLE GA REGIONAL AP,GA,32.683,-83.65
722175,WARNER ROBINS AFB,GA,32.633,-83.6
722180,AUGUSTA BUSH FIELD,GA,33.367,-81.967
722190,ATLANTA HARTSFIELD INTL AP,GA,33.633,-84.433
722195,FULTON CO ARPT BROW,GA,33.767,-84.517
722196,DEKALB PEACHTREE,GA,33.867,-84.3
722210,VALPARAISO ELGIN AFB,FL,30.483,-86.517
722215,CRESTVIEW BOB SIKES AP,FL,30.783,-86.517
722223,PENSACOLA REGIONAL AP,FL,30.483,-87.183
722225,PENSACOLA FOREST SHERMAN NAS,FL,30.35,-87.317
722226,WHITING FIELD NAAS,FL,30.717,-87.017
722230,MOBILE REGIONAL AP,AL,30.683,-88.25
722235,MOBILE DOWNTOWN AP,AL,30.633,-88.067
722245,PANAMA CITY BAY CO,FL,30.2,-85.683
722250,FORT BENNING LAWSON,GA,32.35,-85
722255,COLUMBUS METROPOLITAN ARPT,GA,32.517,-84.95
722260,MONTGOMERY DANNELLY FIELD,AL,32.3,-86.4
722265,MAXWELL AFB,AL,32.383,-86.35
722267,TROY AF,AL,31.867,-86.017
722268,DOTHAN MUNICIPAL AP,AL,31.233,-85.433
722269,CAIRNS FIELD FORT RUCKER,AL,31.267,-85.717
722270,MARIETTA DOBBINS AFB,GA,33.917,-84.517
722280,BIRMINGHAM MUNICIPAL AP,AL,33.567,-86.75
722284,AUBURN-OPELIKA APT,AL,32.616,-85.433
722285,GADSEN MUNI (AWOS),AL,33.967,-86.083
722286,TUSCALOOSA MUNICIPAL AP,AL,33.217,-87.617
722287,ANNISTON METROPOLITAN AP,AL,33.583,-85.85
722310,NEW ORLEANS INTL ARPT,LA,30,-90.25
722314,NEW IBERIA NAAS,LA,30.033,-91.883
722315,NEW ORLEANS LAKEFRONT AP,LA,30.05,-90.033
722316,NEW ORLEANS ALVIN CALLENDER F,LA,29.817,-90.017
722317,BATON ROUGE RYAN ARPT,LA,30.533,-91.15
722329,PATTERSON MEMORIAL,LA,29.717,-91.333
722340,MERIDIAN KEY FIELD,MS,32.333,-88.75
722345,MERIDIAN NAAS,MS,32.55,-88.567
722348,HATTIESBURG LAUREL,MS,31.467,-89.333
722350,JACKSON INTERNATIONAL AP,MS,32.317,-90.083
722356,GREENVILLE MUNICIPAL,MS,33.483,-90.983
722357,NATCHEZ/HARDY(AWOS),MS,31.617,-91.3
722358,MCCOMB PIKE COUNTY AP,MS,31.233,-90.467
722359,GREENWOOD LEFLORE ARPT,MS,33.5,-90.083
722390,FORT POLK AAF,LA,31.05,-93.183
722400,LAKE CHARLES REGIONAL ARPT,LA,30.117,-93.233
722404,LAKE CHARLES WB AIRP,LA,30.217,-93.167
722405,LAFAYETTE REGIONAL AP,LA,30.2,-91.983
722406,HOUMA-TERREBONNE,LA,29.567,-90.667
722410,PORT ARTHUR JEFFERSON COUNTY,TX,29.95,-94.017
722420,GALVESTON/SCHOLES,TX,29.3,-94.8
722429,HOUSTON/D.W. HOOKS,TX,30.067,-95.55
722430,HOUSTON BUSH INTERCONTINENTAL,TX,30,-95.367
722435,HOUSTON WILLIAM P HOBBY AP,TX,29.65,-95.283
